Molecule_Name,connectivity_key,family_id,outer_fold,analog_unit_rank,tanimoto_to_anchor,unit_min_tanimoto_to_anchor,anchor_Molecule_Name,anchor_connectivity_key,anchor_isoform,anchor_rank,anchor_candidate_rank,anchor_direct_pIC50
OCNT-2313024,ZTZAJUSBKHCWHO,CYP1A2_R01_OCNT-2316568,0,1,0.45569620253164556,0.45569620253164556,OCNT-2316568,POWLBZQCDYJROV,CYP1A2,1,4,7.629790315
OCNT-2316676,DDYQMQHUOWCBKE,CYP1A2_R01_OCNT-2316568,0,2,0.4246575342465753,0.4246575342465753,OCNT-2316568,POWLBZQCDYJROV,CYP1A2,1,4,7.629790315
OCNT-0498026,DARGVYVMURXBSO,CYP1A2_R01_OCNT-2316568,0,3,0.4,0.4,OCNT-2316568,POWLBZQCDYJROV,CYP1A2,1,4,7.629790315
OCNT-2316070,JGORGCVKTVDGCF,CYP1A2_R01_OCNT-2316568,0,4,0.38666666666666666,0.38666666666666666,OCNT-2316568,POWLBZQCDYJROV,CYP1A2,1,4,7.629790315
OCNT-0463305,IRTXQAYLOPDKTB,CYP1A2_R01_OCNT-2316568,0,5,0.36363636363636365,0.36363636363636365,OCNT-2316568,POWLBZQCDYJROV,CYP1A2,1,4,7.629790315
OCNT-2314069,UHKRMQBELBBMBX,CYP1A2_R01_OCNT-2316568,0,6,0.3614457831325301,0.3614457831325301,OCNT-2316568,POWLBZQCDYJROV,CYP1A2,1,4,7.629790315
OCNT-2315633,YLBHRYSMLHYOBI,CYP1A2_R01_OCNT-2316568,0,7,0.35802469135802467,0.35802469135802467,OCNT-2316568,POWLBZQCDYJROV,CYP1A2,1,4,7.629790315
OCNT-2311532,WNVZWNWYYUTQII,CYP1A2_R01_OCNT-2316568,0,8,0.3561643835616438,0.3561643835616438,OCNT-2316568,POWLBZQCDYJROV,CYP1A2,1,4,7.629790315
OCNT-2310473,MTAKEIICAOLKFM,CYP1A2_R01_OCNT-2316568,0,9,0.3466666666666667,0.3466666666666667,OCNT-2316568,POWLBZQCDYJROV,CYP1A2,1,4,7.629790315
OCNT-2312921,ZIGNJPLWUJFGKO,CYP1A2_R01_OCNT-2316568,0,10,0.3466666666666667,0.3466666666666667,OCNT-2316568,POWLBZQCDYJROV,CYP1A2,1,4,7.629790315
