Molecule_Name,connectivity_key,family_id,outer_fold,split_scheme,diagnostic_group_id,diagnostic_murcko_scaffold
OCNT-0494110,RGLYKWWBQGJZGM,CYP1A2_R21_OCNT-2328316,0,murcko_scaffold,C(=Cc1ccccc1)c1ccccc1,C(=Cc1ccccc1)c1ccccc1
OCNT-2395413,KQEICCLPAAAHRO,CYP3A4_R22_OCNT-2311117,0,murcko_scaffold,C1CCNCC1,C1CCNCC1
OCNT-2395610,PNSZESMBEQEHIA,CYP3A4_R22_OCNT-2311117,0,murcko_scaffold,C1CCNCC1,C1CCNCC1
OCNT-2310470,CSLBMVDUODQHOM,CYP3A4_R08_OCNT-2312145,0,murcko_scaffold,O=C(CCc1ccccc1)N1CCC(c2cccc3cnccc23)CC1,O=C(CCc1ccccc1)N1CCC(c2cccc3cnccc23)CC1
OCNT-2316959,QCFAHERSFSXCNA,CYP3A4_R11_OCNT-2309844,0,murcko_scaffold,O=C(CCc1ccccc1)N1CCCC(n2ccnc2)C1,O=C(CCc1ccccc1)N1CCCC(n2ccnc2)C1
OCNT-0482156,BDQJULGAUTYTLR,CYP1A2_R24_OCNT-2311592,0,murcko_scaffold,O=C(CCc1ccccc1)NCCc1cnc(-c2ccccc2)s1,O=C(CCc1ccccc1)NCCc1cnc(-c2ccccc2)s1
OCNT-0381046,JWHAUXFOSRPERK,CYP1A2_R20_OCNT-0018684,0,murcko_scaffold,O=C(CCc1ccccc1)c1ccccc1,O=C(CCc1ccccc1)c1ccccc1
OCNT-2312713,IIWXSOJTJLUACB,CYP1A2_R23_OCNT-2317285,0,murcko_scaffold,O=C(CCc1ccncc1)N1CCC(N2CCNCC2)C1,O=C(CCc1ccncc1)N1CCC(N2CCNCC2)C1
OCNT-2317693,KSEBSDIEVDZEHK,CYP2C9_R11_OCNT-2309809,0,murcko_scaffold,O=C(CCc1cn[nH]c1)N1CCN(C(=O)Cc2c[nH]c3ccccc23)CC1,O=C(CCc1cn[nH]c1)N1CCN(C(=O)Cc2c[nH]c3ccccc23)CC1
OCNT-2316452,URAQAPFFYYJDFQ,CYP2C9_R01_OCNT-2315972,0,murcko_scaffold,O=C(CCc1nc(-c2ccccc2)no1)N1CCOCC1c1ncno1,O=C(CCc1nc(-c2ccccc2)no1)N1CCOCC1c1ncno1
OCNT-2395773,GAJKRXTTWPIVGD,CYP2C9_R01_OCNT-2315972,0,murcko_scaffold,O=C(CCc1nc(C2CCCC2)no1)N1CCCCc2ccccc21,O=C(CCc1nc(C2CCCC2)no1)N1CCCCc2ccccc21
OCNT-2395347,VFOKDQSYBFQYDW,CYP3A4_R07_OCNT-2395424,0,murcko_scaffold,O=C(CCc1ncno1)N1CCCc2ccccc21,O=C(CCc1ncno1)N1CCCc2ccccc21
OCNT-2310401,UKDDZRBOIOQMJY,CYP2C9_R05_OCNT-2317181,0,murcko_scaffold,O=C(CN1CCN(C2CCc3ccccc32)CC1)Nc1ccon1,O=C(CN1CCN(C2CCc3ccccc32)CC1)Nc1ccon1
OCNT-2310925,REIBCFLOVHGSRJ,CYP2C9_R05_OCNT-2317181,0,murcko_scaffold,O=C(CN1CCN(c2ccncn2)CC1)Nc1ccccc1,O=C(CN1CCN(c2ccncn2)CC1)Nc1ccccc1
OCNT-2311253,KVYQCPDIBVJAEF,CYP2C9_R03_OCNT-2313300,0,murcko_scaffold,O=C(CNC(=O)c1cccc(-n2ccnc2)c1)Nc1ccccc1,O=C(CNC(=O)c1cccc(-n2ccnc2)c1)Nc1ccccc1
OCNT-0479253,FLCAWBBMFDEJBU,CYP1A2_R25_OCNT-0478585,0,murcko_scaffold,O=C(CSc1c2c(nc3ccccc13)CCCC2)N1CCN(Cc2ccccc2)CC1,O=C(CSc1c2c(nc3ccccc13)CCCC2)N1CCN(Cc2ccccc2)CC1
OCNT-0454840,MRCLYVICBJPCRU,CYP1A2_R25_OCNT-0478585,0,murcko_scaffold,O=C(CSc1c2c(nc3ccccc13)CCCC2)N1CCNCC1,O=C(CSc1c2c(nc3ccccc13)CCCC2)N1CCNCC1
OCNT-2395669,FBNSCPOUYQTZQL,CYP3A4_R23_OCNT-2395731,0,murcko_scaffold,O=C(CSc1nc2ccccc2c2ncnn12)N1CCOCC1,O=C(CSc1nc2ccccc2c2ncnn12)N1CCOCC1
OCNT-0458025,YOCLBIASWDCQFN,CYP2C9_R11_OCNT-2309809,0,murcko_scaffold,O=C(Cc1c[nH]c2ccccc12)N1CCN(c2ccc(-c3ncon3)cc2)CC1,O=C(Cc1c[nH]c2ccccc12)N1CCN(c2ccc(-c3ncon3)cc2)CC1
OCNT-0497551,ZTYQBGRPXUUDOE,CYP2C9_R11_OCNT-2309809,0,murcko_scaffold,O=C(Cc1c[nH]c2ccccc12)Nc1nc2ccccc2[nH]1,O=C(Cc1c[nH]c2ccccc12)Nc1nc2ccccc2[nH]1
OCNT-2312756,MPWXVPGXQJXPCR,CYP1A2_R15_OCNT-2314977,0,murcko_scaffold,O=C(Cc1cc(-c2ccccc2)on1)N1CCCC1,O=C(Cc1cc(-c2ccccc2)on1)N1CCCC1
OCNT-0463305,IRTXQAYLOPDKTB,CYP1A2_R01_OCNT-2316568,0,murcko_scaffold,O=C(Cc1ccccc1)N1CCCC(c2nc(-c3ccccc3)no2)C1,O=C(Cc1ccccc1)N1CCCC(c2nc(-c3ccccc3)no2)C1
OCNT-2395340,LGCUCBFUBNZFJW,CYP1A2_R09_OCNT-2315130,0,murcko_scaffold,O=C(Cc1ccncc1)N1CCOC(c2ccccc2)C1,O=C(Cc1ccncc1)N1CCOC(c2ccccc2)C1
OCNT-2310258,KKUAFDGZQZBAAV,CYP3A4_R24_OCNT-2311092,0,murcko_scaffold,O=C(Cc1cn(-c2ccccc2)nc1-c1ccccc1)Nc1cccnc1,O=C(Cc1cn(-c2ccccc2)nc1-c1ccccc1)Nc1cccnc1
OCNT-2395574,YGARPOQNDCWWPQ,CYP3A4_R13_OCNT-2395372,0,murcko_scaffold,O=C(NC1CC1)[C@@H]1Cc2ccccc2CN1Cc1cccs1,O=C(NC1CC1)[C@@H]1Cc2ccccc2CN1Cc1cccs1
OCNT-2395335,VMKJVPDESMHPJU,CYP3A4_R13_OCNT-2395372,0,murcko_scaffold,O=C(NC1CC1)[C@H]1Cc2ccccc2CN1Cc1ccccc1,O=C(NC1CC1)[C@H]1Cc2ccccc2CN1Cc1ccccc1
OCNT-2395667,XMCDHOWLCPYRIE,CYP3A4_R22_OCNT-2311117,0,murcko_scaffold,O=C(NC1CC2(CCNCC2)C1)C1CC1,O=C(NC1CC2(CCNCC2)C1)C1CC1
OCNT-0479188,QYBGQUNKIKLONI,CYP1A2_R15_OCNT-2314977,0,murcko_scaffold,O=C(NC1CCCC1)c1ccc2c(c1)N(Cc1ccccc1)C(=O)c1ccccc1S2,O=C(NC1CCCC1)c1ccc2c(c1)N(Cc1ccccc1)C(=O)c1ccccc1S2
OCNT-2311714,NIWGHJVYXHFVSV,CYP2C9_R20_OCNT-2312486,0,murcko_scaffold,O=C(NC1CCCCNC1)c1ccccc1,O=C(NC1CCCCNC1)c1ccccc1
OCNT-2313119,DIDURIXSXBWFPC,CYP2C9_R20_OCNT-2312486,0,murcko_scaffold,O=C(NC1CCCN(c2cn[nH]c2)C1)c1ccccc1,O=C(NC1CCCN(c2cn[nH]c2)C1)c1ccccc1
OCNT-2315114,LTHPWOHLAQICFN,CYP1A2_R23_OCNT-2317285,0,murcko_scaffold,O=C(NC1CCN(C(=O)CCc2ccccc2)CC1)c1cc2ncccn2n1,O=C(NC1CCN(C(=O)CCc2ccccc2)CC1)c1cc2ncccn2n1
OCNT-2314694,LJXDGFVGNPOQIW,CYP1A2_R23_OCNT-2317285,0,murcko_scaffold,O=C(NC1CCN(C(=O)CCc2ccccc2)CC1)c1ccc2cnccc2n1,O=C(NC1CCN(C(=O)CCc2ccccc2)CC1)c1ccc2cnccc2n1
OCNT-2313254,HOHUAUMULAZGEZ,CYP2C9_R14_OCNT-2310760,0,murcko_scaffold,O=C(NC1CCN(C(=O)c2cnoc2)CC1)c1ccccc1,O=C(NC1CCN(C(=O)c2cnoc2)CC1)c1ccccc1
OCNT-2313325,NRTZNFXSWOSRAR,CYP1A2_R22_OCNT-2310153,0,murcko_scaffold,O=C(NC1CCN(c2ccccc2)C1)N1CCN(c2ncccn2)CC1,O=C(NC1CCN(c2ccccc2)C1)N1CCN(c2ncccn2)CC1
OCNT-2317904,NPSLYMJMIFKNNV,CYP1A2_R22_OCNT-2310153,0,murcko_scaffold,O=C(NC1CCN(c2ccccc2)C1)c1ccc2nnnn2c1,O=C(NC1CCN(c2ccccc2)C1)c1ccc2nnnn2c1
OCNT-2308626,HQIXODCYFGBKNG,CYP2C9_R25_OCNT-2313981,0,murcko_scaffold,O=C(NC1CCOc2ccccc21)C1CCCO1,O=C(NC1CCOc2ccccc21)C1CCCO1
OCNT-2310994,YWWRVIGZMFEUSK,CYP2C9_R25_OCNT-2313981,0,murcko_scaffold,O=C(NC1CCOc2ccccc21)c1ccn[nH]1,O=C(NC1CCOc2ccccc21)c1ccn[nH]1
OCNT-2313106,CNANRTFPMBYPIM,CYP2C9_R21_OCNT-2317914,0,murcko_scaffold,O=C(NCC(c1ccccc1)N1CCOCC1)c1cccc2c1CCC2,O=C(NCC(c1ccccc1)N1CCOCC1)c1cccc2c1CCC2
OCNT-2313374,OFYRXFGVIZMXNC,CYP1A2_R13_OCNT-2311797,0,murcko_scaffold,O=C(NCC1C2CC3CC(C2)CC1C3)Nc1ccccc1,O=C(NCC1C2CC3CC(C2)CC1C3)Nc1ccccc1
OCNT-2395673,BUUYZXXQVCAQCR,CYP3A4_R22_OCNT-2311117,0,murcko_scaffold,O=C(NCC1CC12CCNCC2)C1CCCC1,O=C(NCC1CC12CCNCC2)C1CCCC1
OCNT-2310685,SRJUQDSPYDJJMF,CYP1A2_R07_OCNT-2313198,0,murcko_scaffold,O=C(NCC1CCC2(CCCC2)O1)Nc1cc[nH]n1,O=C(NCC1CCC2(CCCC2)O1)Nc1cc[nH]n1
OCNT-2315194,MKZQCDVLIOJVRH,CYP1A2_R07_OCNT-2313198,0,murcko_scaffold,O=C(NCC1CCCC2(CCC2)O1)Nc1cc2ccccc2nn1,O=C(NCC1CCCC2(CCC2)O1)Nc1cc2ccccc2nn1
OCNT-2310639,MSMMDODZVKXGBJ,CYP3A4_R02_OCNT-2312554,0,murcko_scaffold,O=C(NCC1CCN(Cc2cccs2)CC1)c1ccnc(-n2cncn2)c1,O=C(NCC1CCN(Cc2cccs2)CC1)c1ccnc(-n2cncn2)c1
OCNT-2317347,BYQXMJFFQMJEPC,CYP2C9_R18_OCNT-2315528,0,murcko_scaffold,O=C(NCC1CCN(c2ccccc2)C1)Nc1ccccc1,O=C(NCC1CCN(c2ccccc2)C1)Nc1ccccc1
OCNT-2309284,UJKUYOWKJWNSKP,CYP2C9_R18_OCNT-2315528,0,murcko_scaffold,O=C(NCC1CCN(c2ccccc2)C1)c1ccc(-n2cnnn2)cc1,O=C(NCC1CCN(c2ccccc2)C1)c1ccc(-n2cnnn2)cc1
OCNT-0475117,CTEAKCBPNXPVHR,CYP1A2_R15_OCNT-2314977,0,murcko_scaffold,O=C(NCCC(=O)N1CCCCC1)c1cc(-c2ccccc2)on1,O=C(NCCC(=O)N1CCCCC1)c1cc(-c2ccccc2)on1
OCNT-2315478,XYEJEKANMDKRRF,CYP1A2_R24_OCNT-2311592,0,murcko_scaffold,O=C(NCCNC(=O)C1COc2ccccc2C1)c1ccccc1,O=C(NCCNC(=O)C1COc2ccccc2C1)c1ccccc1
OCNT-2314603,YVNZWBMVYHHHAQ,CYP2C9_R10_OCNT-2311787,0,murcko_scaffold,O=C(NCCNC1CC1)c1cc(-c2ccccn2)nc2ccccc12,O=C(NCCNC1CC1)c1cc(-c2ccccn2)nc2ccccc12
OCNT-2395735,ORGGPYVADXNQRI,CYP1A2_R13_OCNT-2311797,0,murcko_scaffold,O=C(NCCc1ccccc1)Nc1ccccc1,O=C(NCCc1ccccc1)Nc1ccccc1
OCNT-2311028,MQXPCGHXWRPKCK,CYP3A4_R07_OCNT-2395424,0,murcko_scaffold,O=C(NCCc1cccnc1)C1CCN(C(=O)N2CCCC2)CC1,O=C(NCCc1cccnc1)C1CCN(C(=O)N2CCCC2)CC1
OCNT-2312794,LSNLMIWCWNUZQD,CYP3A4_R08_OCNT-2312145,0,murcko_scaffold,O=C(NCCc1cccnc1)c1ccnc(N2CCOCC2)n1,O=C(NCCc1cccnc1)c1ccnc(N2CCOCC2)n1
OCNT-2315632,IDAOTOFLIMUVOO,CYP3A4_R16_OCNT-2310606,0,murcko_scaffold,O=C(NCCc1ccn(-c2ccccc2)n1)c1ccc(NCC2CC2)nc1,O=C(NCCc1ccn(-c2ccccc2)n1)c1ccc(NCC2CC2)nc1
OCNT-0462992,QWMKMECKGSJZTI,CYP1A2_R06_OCNT-2312418,0,murcko_scaffold,O=C(NCCc1csc(-c2ccccc2)n1)[C@H]1CSCN1C(=O)COc1ccccc1,O=C(NCCc1csc(-c2ccccc2)n1)[C@H]1CSCN1C(=O)COc1ccccc1
OCNT-2312376,UIPHQHVWOXUIQY,CYP1A2_R06_OCNT-2312418,0,murcko_scaffold,O=C(NCCc1csc(-c2ccccc2)n1)c1cncnc1,O=C(NCCc1csc(-c2ccccc2)n1)c1cncnc1
OCNT-2311279,NSRZZYJURUMVCD,CYP1A2_R03_OCNT-2310368,0,murcko_scaffold,O=C(NCCc1nc(-c2ccccc2)no1)NCc1ccon1,O=C(NCCc1nc(-c2ccccc2)no1)NCc1ccon1
OCNT-2309274,ZXIVUUXCTPHHAO,CYP3A4_R08_OCNT-2312145,0,murcko_scaffold,O=C(NCc1[nH]nc2c1CCCC2)NC1(c2ccccc2)CCC1,O=C(NCc1[nH]nc2c1CCCC2)NC1(c2ccccc2)CCC1
OCNT-2310581,QQULOXRKJYHTLY,CYP3A4_R01_OCNT-2310988,0,murcko_scaffold,O=C(NCc1ccc(-n2ccnc2)cc1)c1ccco1,O=C(NCc1ccc(-n2ccnc2)cc1)c1ccco1
OCNT-2315994,LQLLHNXDSQWNGR,CYP3A4_R01_OCNT-2310988,0,murcko_scaffold,O=C(NCc1ccc(-n2ccnc2)cc1)c1csc(-c2cnccn2)n1,O=C(NCc1ccc(-n2ccnc2)cc1)c1csc(-c2cnccn2)n1
OCNT-2310605,XTNMZHDMZGRSBV,CYP2C9_R06_OCNT-2310890,0,murcko_scaffold,O=C(NCc1ccc(-n2ccnc2)nc1)c1ccccc1,O=C(NCc1ccc(-n2ccnc2)nc1)c1ccccc1
