model,scope,fold,task,endpoint,metric,value,n,positives_true,positives_predicted
ecfp4_knn,pooled,,classification,CYP2D6_is_TDI,MCC,0.12349234825666845,177,29.0,12.0
ecfp4_knn,pooled,,classification,CYP3A4_is_TDI,MCC,0.2737834992198222,459,133.0,104.0
ecfp4_knn,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.0255612642588638,181,,
ecfp4_knn,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0761016165844168,159,,
ecfp4_knn,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0138500755121345,177,,
ecfp4_knn,pooled,,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.8544358164305406,381,,
ecfp4_lightgbm,pooled,,classification,CYP2D6_is_TDI,MCC,0.19210014055542626,177,29.0,23.0
ecfp4_lightgbm,pooled,,classification,CYP3A4_is_TDI,MCC,0.22705010467245978,459,133.0,139.0
ecfp4_lightgbm,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.8046055130348218,181,,
ecfp4_lightgbm,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.8240902435501912,159,,
ecfp4_lightgbm,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.8940351743385182,177,,
ecfp4_lightgbm,pooled,,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.6766055377628409,381,,
ecfp4_random_forest,pooled,,classification,CYP2D6_is_TDI,MCC,-0.0673093017553773,177,29.0,4.0
ecfp4_random_forest,pooled,,classification,CYP3A4_is_TDI,MCC,0.28392993980243314,459,133.0,48.0
ecfp4_random_forest,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.7957588557953752,181,,
ecfp4_random_forest,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.9067677174799467,159,,
ecfp4_random_forest,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.8760881806843767,177,,
ecfp4_random_forest,pooled,,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.875523180774673,381,,
endpoint_mean,pooled,,classification,CYP2D6_is_TDI,MCC,0.0,177,29.0,0.0
endpoint_mean,pooled,,classification,CYP3A4_is_TDI,MCC,0.0,459,133.0,0.0
endpoint_mean,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.0127188788691652,181,,
endpoint_mean,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0979297961502497,159,,
endpoint_mean,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0236995460184148,177,,
endpoint_mean,pooled,,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.1767671544372678,381,,
endpoint_median,pooled,,classification,CYP2D6_is_TDI,MCC,0.0,177,29.0,0.0
endpoint_median,pooled,,classification,CYP3A4_is_TDI,MCC,0.0,459,133.0,0.0
endpoint_median,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9699796552969647,181,,
endpoint_median,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0613430955834333,159,,
endpoint_median,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0425511460181514,177,,
endpoint_median,pooled,,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.0728340077272482,381,,
ecfp4_knn,fold,0.0,classification,CYP2D6_is_TDI,MCC,-0.11200358417204118,38,7.0,2.0
ecfp4_knn,fold,0.0,classification,CYP3A4_is_TDI,MCC,0.229910208858573,86,25.0,30.0
ecfp4_knn,fold,0.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.0282868103733351,43,,
ecfp4_knn,fold,0.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.1988791165890333,28,,
ecfp4_knn,fold,0.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.2024173812677486,38,,
ecfp4_knn,fold,0.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.9048644419051513,74,,
ecfp4_lightgbm,fold,0.0,classification,CYP2D6_is_TDI,MCC,0.0582104127717333,38,7.0,4.0
ecfp4_lightgbm,fold,0.0,classification,CYP3A4_is_TDI,MCC,0.34787798176863405,86,25.0,42.0
ecfp4_lightgbm,fold,0.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.8917516826508363,43,,
ecfp4_lightgbm,fold,0.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.8206445810900721,28,,
ecfp4_lightgbm,fold,0.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0979163795584732,38,,
ecfp4_lightgbm,fold,0.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.7186784663277462,74,,
ecfp4_random_forest,fold,0.0,classification,CYP2D6_is_TDI,MCC,0.0,38,7.0,0.0
ecfp4_random_forest,fold,0.0,classification,CYP3A4_is_TDI,MCC,0.5181426079664405,86,25.0,17.0
ecfp4_random_forest,fold,0.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.8762218147159998,43,,
ecfp4_random_forest,fold,0.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.8136600207639081,28,,
ecfp4_random_forest,fold,0.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9074804814648851,38,,
ecfp4_random_forest,fold,0.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.90352284836936,74,,
endpoint_mean,fold,0.0,classification,CYP2D6_is_TDI,MCC,0.0,38,7.0,0.0
endpoint_mean,fold,0.0,classification,CYP3A4_is_TDI,MCC,0.0,86,25.0,0.0
endpoint_mean,fold,0.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.0357028695590929,43,,
endpoint_mean,fold,0.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.9740837529971077,28,,
endpoint_mean,fold,0.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9998883443805517,38,,
endpoint_mean,fold,0.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.189559458370418,74,,
endpoint_median,fold,0.0,classification,CYP2D6_is_TDI,MCC,0.0,38,7.0,0.0
