model,fold,endpoint,seconds,n_train,n_test
endpoint_mean,0,CYP1A2_pIC50_direct_inhibition,0.0014062309996916156,1369,43
endpoint_median,0,CYP1A2_pIC50_direct_inhibition,0.0009443149997423461,1369,43
ecfp4_knn,0,CYP1A2_pIC50_direct_inhibition,0.010172377999879245,1369,43
ecfp4_random_forest,0,CYP1A2_pIC50_direct_inhibition,0.7735114540000723,1369,43
ecfp4_lightgbm,0,CYP1A2_pIC50_direct_inhibition,0.44363114599991604,1369,43
endpoint_mean,0,CYP2C9_pIC50_direct_inhibition,0.0005083569999442261,1257,28
endpoint_median,0,CYP2C9_pIC50_direct_inhibition,0.00029154900039429776,1257,28
ecfp4_knn,0,CYP2C9_pIC50_direct_inhibition,0.006866780000109429,1257,28
ecfp4_random_forest,0,CYP2C9_pIC50_direct_inhibition,0.720430356000179,1257,28
ecfp4_lightgbm,0,CYP2C9_pIC50_direct_inhibition,0.367884937999861,1257,28
endpoint_mean,0,CYP2D6_pIC50_direct_inhibition,0.0005701210002371226,1455,38
endpoint_median,0,CYP2D6_pIC50_direct_inhibition,0.0002927620002992626,1455,38
ecfp4_knn,0,CYP2D6_pIC50_direct_inhibition,0.009569307999754528,1455,38
ecfp4_random_forest,0,CYP2D6_pIC50_direct_inhibition,0.8139794409999013,1455,38
ecfp4_lightgbm,0,CYP2D6_pIC50_direct_inhibition,0.39769393300002776,1455,38
endpoint_mean,0,CYP3A4_pIC50_direct_inhibition,0.0008995879998110468,2261,74
endpoint_median,0,CYP3A4_pIC50_direct_inhibition,0.0006445630001508107,2261,74
ecfp4_knn,0,CYP3A4_pIC50_direct_inhibition,0.026269185000273865,2261,74
ecfp4_random_forest,0,CYP3A4_pIC50_direct_inhibition,1.107287391999762,2261,74
ecfp4_lightgbm,0,CYP3A4_pIC50_direct_inhibition,0.5848029580001821,2261,74
endpoint_mean,0,CYP3A4_is_TDI,0.003980245000093419,3498,86
endpoint_median,0,CYP3A4_is_TDI,0.0009543000001031032,3498,86
ecfp4_knn,0,CYP3A4_is_TDI,0.06340091299989581,3498,86
ecfp4_random_forest,0,CYP3A4_is_TDI,2.2853631729999506,3498,86
ecfp4_lightgbm,0,CYP3A4_is_TDI,0.6174434290001045,3498,86
endpoint_mean,0,CYP2D6_is_TDI,0.0006544070001837099,1459,38
endpoint_median,0,CYP2D6_is_TDI,0.00029872100003558444,1459,38
ecfp4_knn,0,CYP2D6_is_TDI,0.010316585000055056,1459,38
ecfp4_random_forest,0,CYP2D6_is_TDI,0.9603527069998563,1459,38
ecfp4_lightgbm,0,CYP2D6_is_TDI,0.4389837339999758,1459,38
endpoint_mean,1,CYP1A2_pIC50_direct_inhibition,0.0017020179998326057,1376,36
endpoint_median,1,CYP1A2_pIC50_direct_inhibition,0.00031095899976207875,1376,36
ecfp4_knn,1,CYP1A2_pIC50_direct_inhibition,0.010502236000320408,1376,36
ecfp4_random_forest,1,CYP1A2_pIC50_direct_inhibition,0.7074918869998328,1376,36
ecfp4_lightgbm,1,CYP1A2_pIC50_direct_inhibition,0.6047354550000819,1376,36
endpoint_mean,1,CYP2C9_pIC50_direct_inhibition,0.0005853839998053445,1248,37
endpoint_median,1,CYP2C9_pIC50_direct_inhibition,0.00029640699995070463,1248,37
ecfp4_knn,1,CYP2C9_pIC50_direct_inhibition,0.009027430000060122,1248,37
ecfp4_random_forest,1,CYP2C9_pIC50_direct_inhibition,0.599603863000084,1248,37
ecfp4_lightgbm,1,CYP2C9_pIC50_direct_inhibition,0.41752781900004265,1248,37
endpoint_mean,1,CYP2D6_pIC50_direct_inhibition,0.0006649840001955454,1458,35
endpoint_median,1,CYP2D6_pIC50_direct_inhibition,0.0006393039998329186,1458,35
ecfp4_knn,1,CYP2D6_pIC50_direct_inhibition,0.010627303999626747,1458,35
ecfp4_random_forest,1,CYP2D6_pIC50_direct_inhibition,0.8033038600001419,1458,35
ecfp4_lightgbm,1,CYP2D6_pIC50_direct_inhibition,0.678394758000195,1458,35
endpoint_mean,1,CYP3A4_pIC50_direct_inhibition,0.0009370340003442834,2256,79
endpoint_median,1,CYP3A4_pIC50_direct_inhibition,0.0005086870000923227,2256,79
ecfp4_knn,1,CYP3A4_pIC50_direct_inhibition,0.027777579000030528,2256,79
ecfp4_random_forest,1,CYP3A4_pIC50_direct_inhibition,0.9711335970000619,2256,79
ecfp4_lightgbm,1,CYP3A4_pIC50_direct_inhibition,0.7541566380000404,2256,79
endpoint_mean,1,CYP3A4_is_TDI,0.001235332999840466,3494,90
endpoint_median,1,CYP3A4_is_TDI,0.0008044139999583422,3494,90
ecfp4_knn,1,CYP3A4_is_TDI,0.04968786600011299,3494,90
ecfp4_random_forest,1,CYP3A4_is_TDI,1.9159050600001137,3494,90
ecfp4_lightgbm,1,CYP3A4_is_TDI,1.1249557330002062,3494,90
endpoint_mean,1,CYP2D6_is_TDI,0.0006355489999805286,1462,35
endpoint_median,1,CYP2D6_is_TDI,0.00028515100029835594,1462,35
ecfp4_knn,1,CYP2D6_is_TDI,0.009047330999692349,1462,35
ecfp4_random_forest,1,CYP2D6_is_TDI,0.915158349000194,1462,35
ecfp4_lightgbm,1,CYP2D6_is_TDI,0.6403930870001204,1462,35
endpoint_mean,2,CYP1A2_pIC50_direct_inhibition,0.0005934360001447203,1371,41
endpoint_median,2,CYP1A2_pIC50_direct_inhibition,0.0003260319999753847,1371,41
ecfp4_knn,2,CYP1A2_pIC50_direct_inhibition,0.0096767700001692,1371,41
ecfp4_random_forest,2,CYP1A2_pIC50_direct_inhibition,0.6156342149997727,1371,41
ecfp4_lightgbm,2,CYP1A2_pIC50_direct_inhibition,0.6661660900003881,1371,41
endpoint_mean,2,CYP2C9_pIC50_direct_inhibition,0.0005848619998687354,1257,28
endpoint_median,2,CYP2C9_pIC50_direct_inhibition,0.0003679960000226856,1257,28
ecfp4_knn,2,CYP2C9_pIC50_direct_inhibition,0.007471902999895974,1257,28
ecfp4_random_forest,2,CYP2C9_pIC50_direct_inhibition,0.6343398210001396,1257,28
ecfp4_lightgbm,2,CYP2C9_pIC50_direct_inhibition,0.3676739910001743,1257,28
endpoint_mean,2,CYP2D6_pIC50_direct_inhibition,0.0006359989997690718,1451,42
endpoint_median,2,CYP2D6_pIC50_direct_inhibition,0.0003509590001158358,1451,42
ecfp4_knn,2,CYP2D6_pIC50_direct_inhibition,0.010811551999722724,1451,42
ecfp4_random_forest,2,CYP2D6_pIC50_direct_inhibition,0.7874698929999795,1451,42
ecfp4_lightgbm,2,CYP2D6_pIC50_direct_inhibition,0.3735893749999377,1451,42
