variant,fold,seed,partition,endpoint,change,mean_absolute_probability_change,max_absolute_probability_change,decisions_changed_at_half
paired_no_std,0,20260829,train,CYP3A4_is_TDI,add_reference_std,0.0006777835078537464,0.004062294960021973,5
paired_no_std,0,20260829,train,CYP2D6_is_TDI,add_reference_std,0.0017051909817382693,0.02124457061290741,0
paired_no_std,0,20260829,val,CYP3A4_is_TDI,add_reference_std,0.0007788017974235117,0.0029565095901489258,0
paired_no_std,0,20260829,val,CYP2D6_is_TDI,add_reference_std,0.0012188325636088848,0.002635389566421509,0
paired_std,0,20260829,train,CYP3A4_is_TDI,remove_reference_std,0.0004428051470313221,0.003804326057434082,2
paired_std,0,20260829,train,CYP2D6_is_TDI,remove_reference_std,0.0032676635310053825,0.02048341929912567,0
paired_std,0,20260829,val,CYP3A4_is_TDI,remove_reference_std,0.0005487701273523271,0.0021615028381347656,0
paired_std,0,20260829,val,CYP2D6_is_TDI,remove_reference_std,0.0024129084777086973,0.007862061262130737,0
paired_no_std,1,20260829,train,CYP3A4_is_TDI,add_reference_std,0.0006859686691313982,0.004862606525421143,2
paired_no_std,1,20260829,train,CYP2D6_is_TDI,add_reference_std,0.003457446815446019,0.022902971133589745,0
paired_no_std,1,20260829,val,CYP3A4_is_TDI,add_reference_std,0.000616743229329586,0.003137052059173584,0
paired_no_std,1,20260829,val,CYP2D6_is_TDI,add_reference_std,0.0019510411657392979,0.010225862264633179,0
paired_std,1,20260829,train,CYP3A4_is_TDI,remove_reference_std,0.0002833009057212621,0.00274735689163208,3
paired_std,1,20260829,train,CYP2D6_is_TDI,remove_reference_std,0.0026692559476941824,0.01968987286090851,0
paired_std,1,20260829,val,CYP3A4_is_TDI,remove_reference_std,0.0002557164989411831,0.0019600391387939453,0
paired_std,1,20260829,val,CYP2D6_is_TDI,remove_reference_std,0.00209980271756649,0.005269929766654968,0
paired_no_std,2,20260829,train,CYP3A4_is_TDI,add_reference_std,0.001212393050082028,0.009898722171783447,0
paired_no_std,2,20260829,train,CYP2D6_is_TDI,add_reference_std,0.0072574014775455,0.047791771590709686,0
paired_no_std,2,20260829,val,CYP3A4_is_TDI,add_reference_std,0.0015372554771602154,0.0063838958740234375,0
paired_no_std,2,20260829,val,CYP2D6_is_TDI,add_reference_std,0.004157062619924545,0.021727144718170166,0
paired_std,2,20260829,train,CYP3A4_is_TDI,remove_reference_std,0.000568367016967386,0.0031476616859436035,3
paired_std,2,20260829,train,CYP2D6_is_TDI,remove_reference_std,0.0033902274444699287,0.021096043288707733,0
paired_std,2,20260829,val,CYP3A4_is_TDI,remove_reference_std,0.000655633513815701,0.0023189187049865723,0
paired_std,2,20260829,val,CYP2D6_is_TDI,remove_reference_std,0.0029602241702377796,0.009184256196022034,0
paired_no_std,3,20260829,train,CYP3A4_is_TDI,add_reference_std,0.0008985124295577407,0.005142092704772949,5
paired_no_std,3,20260829,train,CYP2D6_is_TDI,add_reference_std,0.003386282827705145,0.021163402125239372,0
paired_no_std,3,20260829,val,CYP3A4_is_TDI,add_reference_std,0.0010135191259905696,0.004338741302490234,0
paired_no_std,3,20260829,val,CYP2D6_is_TDI,add_reference_std,0.002010812982916832,0.00594174861907959,0
paired_std,3,20260829,train,CYP3A4_is_TDI,remove_reference_std,0.0008677349542267621,0.0056359171867370605,7
paired_std,3,20260829,train,CYP2D6_is_TDI,remove_reference_std,0.004802979063242674,0.021000400185585022,0
paired_std,3,20260829,val,CYP3A4_is_TDI,remove_reference_std,0.0010895401937887073,0.004463493824005127,0
paired_std,3,20260829,val,CYP2D6_is_TDI,remove_reference_std,0.0028558755293488503,0.012827150523662567,0
paired_no_std,4,20260829,train,CYP3A4_is_TDI,add_reference_std,0.0004045693203806877,0.0013873577117919922,0
paired_no_std,4,20260829,train,CYP2D6_is_TDI,add_reference_std,0.0011282750638201833,0.007031798362731934,0
paired_no_std,4,20260829,val,CYP3A4_is_TDI,add_reference_std,0.00034519805922172964,0.0011493861675262451,0
paired_no_std,4,20260829,val,CYP2D6_is_TDI,add_reference_std,0.001046125078573823,0.002305760979652405,0
paired_std,4,20260829,train,CYP3A4_is_TDI,remove_reference_std,0.0004492780426517129,0.0022315382957458496,4
paired_std,4,20260829,train,CYP2D6_is_TDI,remove_reference_std,0.0020329495891928673,0.009792014956474304,0
paired_std,4,20260829,val,CYP3A4_is_TDI,remove_reference_std,0.00032909397850744426,0.0017757415771484375,0
paired_std,4,20260829,val,CYP2D6_is_TDI,remove_reference_std,0.0019282043213024735,0.0035543441772460938,0
