variant,fold,seed,term,training_sample_n,weighted_loss,encoder_gradient_norm,cosine_to_2D6_classification
independent_no_std,0,20260829,continuous_2D6,256,0.10876356158405542,0.22401940543241183,-0.13451485761365536
independent_no_std,0,20260829,continuous_other,256,0.38039135187864304,0.7905744884788494,-0.029763561658012642
independent_no_std,0,20260829,classification_2D6,256,0.14794261939823627,0.4469922699777362,0.9999999999999972
independent_no_std,0,20260829,classification_3A4,256,0.1008271872997284,0.31472218177175365,0.15745736425685478
independent_no_std,0,20260829,reportability,256,0.010223603225313127,0.04857144342050135,-0.016775619481050552
independent_no_std,0,20260829,all_except_classification_2D6,256,,1.0617578856186174,-0.004637348930241801
independent_std,0,20260829,continuous_2D6,256,0.12836853973567486,0.21613796592162987,-0.4013433897353609
independent_std,0,20260829,continuous_other,256,0.5152214914560318,0.6139062814595793,0.1477834054627754
independent_std,0,20260829,classification_2D6,256,0.22869320958852768,0.1489658238284665,0.9999999999999969
independent_std,0,20260829,classification_3A4,256,0.1367435995489359,0.20723101213407416,-0.05161211819443459
independent_std,0,20260829,reportability,256,0.013109513791278005,0.026905136129598356,0.15929633626682788
independent_std,0,20260829,all_except_classification_2D6,256,,0.6303583070575207,-0.0038551484716076467
paired_no_std,0,20260829,continuous_2D6,256,0.15303817950189114,0.14060589578688282,0.2511581189190712
paired_no_std,0,20260829,continuous_other,256,0.5276056528091431,0.5623603205413392,0.06630619898196478
paired_no_std,0,20260829,classification_2D6,256,0.25921524316072464,0.08762899404938324,0.9999999999999989
paired_no_std,0,20260829,classification_3A4,256,0.1567215546965599,0.26244221881128776,-0.16366618814518058
paired_no_std,0,20260829,reportability,256,0.015456666937097907,0.06387087402644692,-0.16230514636825388
paired_no_std,0,20260829,all_except_classification_2D6,256,,0.5847554662441079,0.032975832809663014
paired_std,0,20260829,continuous_2D6,256,0.1347220093011856,0.1133168487637426,0.0823595663239744
paired_std,0,20260829,continuous_other,256,0.5775309205055237,0.3774176264686118,-0.0705821520091132
paired_std,0,20260829,classification_2D6,256,0.2549649327993393,0.0730903711990753,0.9999999999999968
paired_std,0,20260829,classification_3A4,256,0.15696300193667412,0.1815870145305052,-0.036537621569603246
paired_std,0,20260829,reportability,256,0.012220922857522964,0.025226577531311887,0.22332838542932923
paired_std,0,20260829,all_except_classification_2D6,256,,0.45013964075012575,-0.04066997636407098
independent_no_std,1,20260829,continuous_2D6,256,0.18292549438774586,0.2115115782782684,0.16299673771011797
independent_no_std,1,20260829,continuous_other,256,0.5185770243406296,0.34803198792429646,0.312873641463843
independent_no_std,1,20260829,classification_2D6,256,0.22280635870993137,0.09367363711503036,0.9999999999999969
independent_no_std,1,20260829,classification_3A4,256,0.15672836638987064,0.19682419483560967,0.14672890136480743
independent_no_std,1,20260829,reportability,256,0.013473633211106062,0.03262076665606624,-0.02255194008078283
independent_no_std,1,20260829,all_except_classification_2D6,256,,0.5322871384939212,0.32221306236245756
independent_std,1,20260829,continuous_2D6,256,0.1639348492026329,0.21631851493874996,0.09495529911326736
independent_std,1,20260829,continuous_other,256,0.4764067456126213,0.34004845265826056,0.37897906451034913
independent_std,1,20260829,classification_2D6,256,0.22563714906573296,0.08048670451153793,0.9999999999999949
independent_std,1,20260829,classification_3A4,256,0.15247821621596813,0.24612868718703865,0.29797688114512305
