split_scheme,model,scope,fold,task,endpoint,metric,value,n,positives_true,positives_predicted
random,ecfp4_knn,pooled,,classification,CYP2D6_is_TDI,MCC,0.1798450123437348,177,29.0,16.0
random,ecfp4_knn,pooled,,classification,CYP3A4_is_TDI,MCC,0.35205903190366095,459,133.0,107.0
random,ecfp4_knn,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9712633009287178,181,,
random,ecfp4_knn,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0949418995789006,159,,
random,ecfp4_knn,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0357448102475937,177,,
random,ecfp4_knn,pooled,,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.8686056120029632,381,,
random,ecfp4_lightgbm,pooled,,classification,CYP2D6_is_TDI,MCC,0.225949430027871,177,29.0,24.0
random,ecfp4_lightgbm,pooled,,classification,CYP3A4_is_TDI,MCC,0.40299306246343075,459,133.0,159.0
random,ecfp4_lightgbm,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.8073170991476935,181,,
random,ecfp4_lightgbm,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.8253290413281832,159,,
random,ecfp4_lightgbm,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9230838498792724,177,,
random,ecfp4_lightgbm,pooled,,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.5756766059828341,381,,
random,ecfp4_random_forest,pooled,,classification,CYP2D6_is_TDI,MCC,0.08577662771505458,177,29.0,6.0
random,ecfp4_random_forest,pooled,,classification,CYP3A4_is_TDI,MCC,0.405537740005287,459,133.0,98.0
random,ecfp4_random_forest,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.8059513915124594,181,,
random,ecfp4_random_forest,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.9147565060575867,159,,
random,ecfp4_random_forest,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.8893159240231564,177,,
