split_scheme,model,fold,endpoint,seconds,n_train,n_test
random,endpoint_mean,0,CYP1A2_pIC50_direct_inhibition,0.0011615829998845584,1366,46
random,endpoint_median,0,CYP1A2_pIC50_direct_inhibition,0.0008708639998076251,1366,46
random,ecfp4_knn,0,CYP1A2_pIC50_direct_inhibition,0.010803089999626536,1366,46
random,ecfp4_random_forest,0,CYP1A2_pIC50_direct_inhibition,0.6301705429996218,1366,46
random,ecfp4_lightgbm,0,CYP1A2_pIC50_direct_inhibition,0.3391057159997217,1366,46
random,endpoint_mean,0,CYP2C9_pIC50_direct_inhibition,0.0005568700003095728,1256,29
random,endpoint_median,0,CYP2C9_pIC50_direct_inhibition,0.00029677800011995714,1256,29
random,ecfp4_knn,0,CYP2C9_pIC50_direct_inhibition,0.006658577000052901,1256,29
random,ecfp4_random_forest,0,CYP2C9_pIC50_direct_inhibition,0.6030391360000067,1256,29
random,ecfp4_lightgbm,0,CYP2C9_pIC50_direct_inhibition,0.3051711120001528,1256,29
random,endpoint_mean,0,CYP2D6_pIC50_direct_inhibition,0.0005832599999848753,1453,40
random,endpoint_median,0,CYP2D6_pIC50_direct_inhibition,0.0003115999998044572,1453,40
random,ecfp4_knn,0,CYP2D6_pIC50_direct_inhibition,0.0101124479997452,1453,40
random,ecfp4_random_forest,0,CYP2D6_pIC50_direct_inhibition,0.8197198530001515,1453,40
random,ecfp4_lightgbm,0,CYP2D6_pIC50_direct_inhibition,0.3703382859998783,1453,40
random,endpoint_mean,0,CYP3A4_pIC50_direct_inhibition,0.0014459610001722467,2267,68
random,endpoint_median,0,CYP3A4_pIC50_direct_inhibition,0.0007860759997129207,2267,68
random,ecfp4_knn,0,CYP3A4_pIC50_direct_inhibition,0.02558124899996983,2267,68
random,ecfp4_random_forest,0,CYP3A4_pIC50_direct_inhibition,1.1263174020000406,2267,68
random,ecfp4_lightgbm,0,CYP3A4_pIC50_direct_inhibition,0.6217266730000119,2267,68
random,endpoint_mean,0,CYP3A4_is_TDI,0.0015677760002290597,3498,86
random,endpoint_median,0,CYP3A4_is_TDI,0.0009626030000617902,3498,86
random,ecfp4_knn,0,CYP3A4_is_TDI,0.043507436999789206,3498,86
random,ecfp4_random_forest,0,CYP3A4_is_TDI,5.953108644999702,3498,86
random,ecfp4_lightgbm,0,CYP3A4_is_TDI,0.5940880090001883,3498,86
random,endpoint_mean,0,CYP2D6_is_TDI,0.0008849850000842707,1457,40
random,endpoint_median,0,CYP2D6_is_TDI,0.0003049300003112876,1457,40
random,ecfp4_knn,0,CYP2D6_is_TDI,0.010638953000125184,1457,40
random,ecfp4_random_forest,0,CYP2D6_is_TDI,0.9384246579998035,1457,40
random,ecfp4_lightgbm,0,CYP2D6_is_TDI,0.722503909000352,1457,40
random,endpoint_mean,1,CYP1A2_pIC50_direct_inhibition,0.001345229999969888,1370,42
random,endpoint_median,1,CYP1A2_pIC50_direct_inhibition,0.00044461099969339557,1370,42
random,ecfp4_knn,1,CYP1A2_pIC50_direct_inhibition,0.011084675999882165,1370,42
random,ecfp4_random_forest,1,CYP1A2_pIC50_direct_inhibition,0.6880447510002341,1370,42
random,ecfp4_lightgbm,1,CYP1A2_pIC50_direct_inhibition,0.6422032880000188,1370,42
random,endpoint_mean,1,CYP2C9_pIC50_direct_inhibition,0.0005959689997325768,1255,30
random,endpoint_median,1,CYP2C9_pIC50_direct_inhibition,0.00035807999984172056,1255,30
random,ecfp4_knn,1,CYP2C9_pIC50_direct_inhibition,0.007858938000026683,1255,30
random,ecfp4_random_forest,1,CYP2C9_pIC50_direct_inhibition,0.615889132999655,1255,30
random,ecfp4_lightgbm,1,CYP2C9_pIC50_direct_inhibition,0.7004182499999843,1255,30
random,endpoint_mean,1,CYP2D6_pIC50_direct_inhibition,0.0007343579995904292,1457,36
random,endpoint_median,1,CYP2D6_pIC50_direct_inhibition,0.0004009150002275419,1457,36
random,ecfp4_knn,1,CYP2D6_pIC50_direct_inhibition,0.009419503000117402,1457,36
random,ecfp4_random_forest,1,CYP2D6_pIC50_direct_inhibition,0.837586224000006,1457,36
random,ecfp4_lightgbm,1,CYP2D6_pIC50_direct_inhibition,0.606685550000293,1457,36
random,endpoint_mean,1,CYP3A4_pIC50_direct_inhibition,0.0009899729998323892,2260,75
random,endpoint_median,1,CYP3A4_pIC50_direct_inhibition,0.0007394560002467188,2260,75
random,ecfp4_knn,1,CYP3A4_pIC50_direct_inhibition,0.027922010000111186,2260,75
random,ecfp4_random_forest,1,CYP3A4_pIC50_direct_inhibition,1.036265192999963,2260,75
random,ecfp4_lightgbm,1,CYP3A4_pIC50_direct_inhibition,0.43200168200019107,2260,75
random,endpoint_mean,1,CYP3A4_is_TDI,0.0013338929998099047,3493,91
random,endpoint_median,1,CYP3A4_is_TDI,0.0008961419998740894,3493,91
random,ecfp4_knn,1,CYP3A4_is_TDI,0.04700351699966632,3493,91
random,ecfp4_random_forest,1,CYP3A4_is_TDI,2.1325444439999046,3493,91
random,ecfp4_lightgbm,1,CYP3A4_is_TDI,0.8997944449997703,3493,91
random,endpoint_mean,1,CYP2D6_is_TDI,0.0006963309997445322,1461,36
random,endpoint_median,1,CYP2D6_is_TDI,0.00036786500004382106,1461,36
random,ecfp4_knn,1,CYP2D6_is_TDI,0.008982993999779865,1461,36
random,ecfp4_random_forest,1,CYP2D6_is_TDI,1.121477177000088,1461,36
random,ecfp4_lightgbm,1,CYP2D6_is_TDI,0.3432021460002943,1461,36
random,endpoint_mean,2,CYP1A2_pIC50_direct_inhibition,0.0008467279999422317,1387,25
random,endpoint_median,2,CYP1A2_pIC50_direct_inhibition,0.0004186309997749049,1387,25
random,ecfp4_knn,2,CYP1A2_pIC50_direct_inhibition,0.007360165999671153,1387,25
random,ecfp4_random_forest,2,CYP1A2_pIC50_direct_inhibition,0.6888004269999328,1387,25
random,ecfp4_lightgbm,2,CYP1A2_pIC50_direct_inhibition,0.3616985100002239,1387,25
random,endpoint_mean,2,CYP2C9_pIC50_direct_inhibition,0.0006397749998541258,1254,31
random,endpoint_median,2,CYP2C9_pIC50_direct_inhibition,0.00028368799985400983,1254,31
random,ecfp4_knn,2,CYP2C9_pIC50_direct_inhibition,0.008287535000363278,1254,31
random,ecfp4_random_forest,2,CYP2C9_pIC50_direct_inhibition,0.6479621610001232,1254,31
random,ecfp4_lightgbm,2,CYP2C9_pIC50_direct_inhibition,0.3294637110002441,1254,31
random,endpoint_mean,2,CYP2D6_pIC50_direct_inhibition,0.000822520999918197,1457,36
random,endpoint_median,2,CYP2D6_pIC50_direct_inhibition,0.0004380410000521806,1457,36
random,ecfp4_knn,2,CYP2D6_pIC50_direct_inhibition,0.009265760999824124,1457,36
random,ecfp4_random_forest,2,CYP2D6_pIC50_direct_inhibition,0.7301699669997106,1457,36
random,ecfp4_lightgbm,2,CYP2D6_pIC50_direct_inhibition,0.40991788399969664,1457,36
random,endpoint_mean,2,CYP3A4_pIC50_direct_inhibition,0.0011542920001375023,2265,70
random,endpoint_median,2,CYP3A4_pIC50_direct_inhibition,0.0007153189999371534,2265,70
random,ecfp4_knn,2,CYP3A4_pIC50_direct_inhibition,0.025407417999758763,2265,70
random,ecfp4_random_forest,2,CYP3A4_pIC50_direct_inhibition,1.0452595279998604,2265,70
random,ecfp4_lightgbm,2,CYP3A4_pIC50_direct_inhibition,0.5428602189999765,2265,70
random,endpoint_mean,2,CYP3A4_is_TDI,0.0014834989997325465,3492,92
random,endpoint_median,2,CYP3A4_is_TDI,0.0009939689998645918,3492,92
random,ecfp4_knn,2,CYP3A4_is_TDI,0.04676666600016688,3492,92
random,ecfp4_random_forest,2,CYP3A4_is_TDI,1.9347871269997086,3492,92
random,ecfp4_lightgbm,2,CYP3A4_is_TDI,0.8454242590000831,3492,92
random,endpoint_mean,2,CYP2D6_is_TDI,0.0007056750000629108,1461,36
random,endpoint_median,2,CYP2D6_is_TDI,0.00031996300003811484,1461,36
random,ecfp4_knn,2,CYP2D6_is_TDI,0.009879026999897178,1461,36
random,ecfp4_random_forest,2,CYP2D6_is_TDI,0.9375820440000098,1461,36
random,ecfp4_lightgbm,2,CYP2D6_is_TDI,0.525865203000194,1461,36
random,endpoint_mean,3,CYP1A2_pIC50_direct_inhibition,0.0006513729999824136,1373,39
random,endpoint_median,3,CYP1A2_pIC50_direct_inhibition,0.0003678449998005817,1373,39
random,ecfp4_knn,3,CYP1A2_pIC50_direct_inhibition,0.009171458999844617,1373,39
random,ecfp4_random_forest,3,CYP1A2_pIC50_direct_inhibition,0.6196791479997046,1373,39
random,ecfp4_lightgbm,3,CYP1A2_pIC50_direct_inhibition,0.7460716669997964,1373,39
random,endpoint_mean,3,CYP2C9_pIC50_direct_inhibition,0.0006377529998644604,1246,39
random,endpoint_median,3,CYP2C9_pIC50_direct_inhibition,0.00028696300023511867,1246,39
random,ecfp4_knn,3,CYP2C9_pIC50_direct_inhibition,0.008796644000085507,1246,39
random,ecfp4_random_forest,3,CYP2C9_pIC50_direct_inhibition,0.7225804049999169,1246,39
random,ecfp4_lightgbm,3,CYP2C9_pIC50_direct_inhibition,0.37141824799982714,1246,39
random,endpoint_mean,3,CYP2D6_pIC50_direct_inhibition,0.0009425930002180394,1460,33
random,endpoint_median,3,CYP2D6_pIC50_direct_inhibition,0.0005225180002526031,1460,33
random,ecfp4_knn,3,CYP2D6_pIC50_direct_inhibition,0.00942839700019249,1460,33
random,ecfp4_random_forest,3,CYP2D6_pIC50_direct_inhibition,0.8465763169997444,1460,33
random,ecfp4_lightgbm,3,CYP2D6_pIC50_direct_inhibition,0.6814366599996902,1460,33
random,endpoint_mean,3,CYP3A4_pIC50_direct_inhibition,0.000994891000118514,2246,89
random,endpoint_median,3,CYP3A4_pIC50_direct_inhibition,0.001148472999830119,2246,89
random,ecfp4_knn,3,CYP3A4_pIC50_direct_inhibition,0.034414358000049106,2246,89
random,ecfp4_random_forest,3,CYP3A4_pIC50_direct_inhibition,1.0727233020002132,2246,89
random,ecfp4_lightgbm,3,CYP3A4_pIC50_direct_inhibition,0.5150570399996468,2246,89
random,endpoint_mean,3,CYP3A4_is_TDI,0.0014729530003023683,3489,95
